127.0.0.1, 2018-10-23 16:26:13, POST, /admin/default/check_version, HTTP/1.1, 200, 0.023184
127.0.0.1, 2018-10-23 16:26:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000268
127.0.0.1, 2018-10-23 16:26:15, GET, /web2py_start/default/index, HTTP/1.1, 200, 0.114365
127.0.0.1, 2018-10-23 16:26:16, GET, /web2py_start/static/css/custom.css, HTTP/1.1, 200, 0.000413
127.0.0.1, 2018-10-23 16:26:16, GET, /web2py_start/static/css/web2py.css, HTTP/1.1, 200, 0.000472
127.0.0.1, 2018-10-23 16:26:16, GET, /web2py_start/static/css/calendar.css, HTTP/1.1, 200, 0.001893
127.0.0.1, 2018-10-23 16:26:16, GET, /web2py_start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000499
127.0.0.1, 2018-10-23 16:26:16, GET, /web2py_start/static/css/stupid.css, HTTP/1.1, 200, 0.000752
127.0.0.1, 2018-10-23 16:26:16, GET, /web2py_start/static/css/myapp.css, HTTP/1.1, 200, 0.003129
127.0.0.1, 2018-10-23 16:26:16, GET, /web2py_start/static/js/jquery.js, HTTP/1.1, 200, 0.000355
127.0.0.1, 2018-10-23 16:26:16, GET, /web2py_start/static/js/calendar.js, HTTP/1.1, 200, 0.000369
127.0.0.1, 2018-10-23 16:26:16, GET, /web2py_start/static/js/vue.min.js, HTTP/1.1, 200, 0.000832
127.0.0.1, 2018-10-23 16:26:16, GET, /web2py_start/static/js/marked.min.js, HTTP/1.1, 200, 0.001189
127.0.0.1, 2018-10-23 16:26:16, GET, /web2py_start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000301
127.0.0.1, 2018-10-23 16:26:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000259
127.0.0.1, 2018-10-23 16:26:25, GET, /web2py_start/default/add, HTTP/1.1, 303, 0.014836
127.0.0.1, 2018-10-23 16:26:25, GET, /web2py_start/default/user/login, HTTP/1.1, 200, 0.020720
127.0.0.1, 2018-10-23 16:26:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000284
127.0.0.1, 2018-10-23 16:26:39, POST, /web2py_start/default/user/login, HTTP/1.1, 303, 0.015759
127.0.0.1, 2018-10-23 16:26:39, GET, /web2py_start/default/user/login, HTTP/1.1, 200, 0.019048
127.0.0.1, 2018-10-23 16:26:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000294
127.0.0.1, 2018-10-23 16:26:41, GET, /web2py_start/default/user/register, HTTP/1.1, 200, 0.021660
127.0.0.1, 2018-10-23 16:26:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000247
127.0.0.1, 2018-10-23 16:26:54, POST, /web2py_start/default/user/register, HTTP/1.1, 303, 0.023127
127.0.0.1, 2018-10-23 16:26:54, GET, /web2py_start/default/add, HTTP/1.1, 200, 0.018806
